x,E_0,F_0,E+F,E-F
2.277,1.37199e-07,0,0.0137217,-0.000584819
2.283,1.37199e-07,0,0.0137217,-0.000584819
2.289,1.37199e-07,0,0.0137217,-0.000584819
2.295,1.37199e-07,0,0.0137217,-0.000584819
2.301,1.37199e-07,0,0.0137217,-0.000584819
2.307,1.37199e-07,0,0.0137217,-0.000584819
2.313,1.37199e-07,0,0.0137217,-0.000584819
2.319,1.37199e-07,0,0.0137217,-0.000584819
2.325,1.37199e-07,0,0.0137217,-0.000584819
2.331,1.37199e-07,0,0.0137217,-0.000584819
2.337,1.37199e-07,0,0.0137217,-0.000584819
2.343,1.37199e-07,0,0.0137217,-0.000584819
2.349,1.37199e-07,0,0.0137217,-0.000584819
2.355,1.37199e-07,0,0.0137217,-0.000584819
2.361,1.37199e-07,0,0.0137217,-0.000584819
2.367,1.37199e-07,0,0.0137217,-0.000584819
2.373,1.37199e-07,0,0.0137217,-0.000584819
2.379,1.37199e-07,0,0.0137217,-0.000584819
2.385,1.37199e-07,0,0.0137217,-0.000584819
2.391,1.37199e-07,0,0.0137217,-0.000584819
2.397,1.37199e-07,0,0.0137217,-0.000584819
2.403,1.37199e-07,0,0.0137217,-0.000584819
2.409,1.37199e-07,0,0.0137217,-0.000584819
2.415,1.37199e-07,0,0.0137217,-0.000584819
2.421,1.37199e-07,0,0.0137217,-0.000584819
2.427,1.37199e-07,0,0.0137217,-0.000584819
2.433,1.37199e-07,0,0.0137217,-0.000584819
2.439,1.37199e-07,0,0.0137217,-0.000584819
2.445,1.37199e-07,0,0.0137217,-0.000584819
2.451,1.37199e-07,0,0.0137217,-0.000584819
2.457,1.37199e-07,0,0.0137217,-0.000584819
2.463,1.37199e-07,0,0.0137217,-0.000584819
2.469,1.37199e-07,0,0.0137217,-0.000584819
2.475,1.37199e-07,0,0.0137217,-0.000584819
2.481,1.37199e-07,0,0.0137217,-0.000584819
2.487,1.37199e-07,0,0.0137217,-0.000584819
2.493,1.37199e-07,0,0.0137217,-0.000584819
2.499,1.37199e-07,0,0.0137217,-0.000584819
2.505,1.37199e-07,0,0.0137217,-0.000584819
2.511,1.37199e-07,0,0.0137217,-0.000584819
2.517,1.37199e-07,0,0.0137217,-0.000584819
2.523,1.37199e-07,0,0.0137217,-0.000584819
2.529,1.37199e-07,0,0.0137217,-0.000584819
2.535,1.37199e-07,0,0.0137217,-0.000584819
2.541,1.37199e-07,0,0.0137217,-0.000584819
2.547,1.37199e-07,0,0.0137217,-0.000584819
2.553,1.37199e-07,0,0.0137217,-0.000584819
2.559,1.37199e-07,0,0.0137217,-0.000584819
2.565,1.37199e-07,0,0.0137217,-0.000584819
2.571,1.37199e-07,0,0.0137217,-0.000584819
2.577,1.37199e-07,0,0.0137217,-0.000584819
2.583,1.37199e-07,0,0.0137217,-0.000584819
2.589,1.37199e-07,0,0.0137217,-0.000584819
2.595,1.37199e-07,0,0.0137217,-0.000584819
2.601,1.37199e-07,0,0.0137217,-0.000584819
2.607,1.37199e-07,0,0.0137217,-0.000584819
2.613,1.37199e-07,0,0.0137217,-0.000584819
2.619,1.37199e-07,0,0.0137217,-0.000584819
2.625,1.37199e-07,0,0.0137217,-0.000584819
2.631,1.37199e-07,0,0.0137217,-0.000584819
2.637,1.37199e-07,0,0.0137217,-0.000584819
2.643,1.37199e-07,0,0.0137217,-0.000584819
